ID,flag,zq_perc,gq_perc,xmzc_perc,nbmy_perc,debt_perc,mainincome_perc,tax_perc,owner_perc
28,1.0,0.0,0.04,0.0,0.06,1.5119047619047616,0.5169209431345354,0.0,-0.4455035225859926
230,1.0,0.0,0.04,0.06000000000000001,0.06,1.2352941176470589,0.6551839464882944,0.0,-0.44981726173741915
429,1.0,0.07999999999999997,0.04000000000000001,0.0,0.0,1.2162162162162162,0.5735825927060986,0.0,-0.36626444184452905
693,1.0,0.0,0.0,0.060000000000000005,0.06,1.0952380952380953,0.4219123505976095,0.0,-0.07163323782234957
727,1.0,0.0,0.04,0.0,0.060000000000000005,1.4671532846715332,0.44980754426481906,0.0,-0.7840254808281267
990,1.0,0.0,0.0,0.0,0.06,1.3333333333333333,0.7,0.0,-0.6802721088435374
1137,1.0,0.08,0.0,0.06,0.06000000000000002,0.8488198085446288,0.4562306900102989,0.0,-0.30757874015748027
1274,1.0,0.08,0.04,0.0,0.06,1.27922077922078,0.6553191489361699,0.0,-0.6181713628522136
1560,1.0,0.0,0.04,0.0,0.06,1.3580246913580245,0.5432203389830509,0.0,-0.702179176755448
1873,1.0,0.0,0.04,0.0,0.060000000000000005,1.3376623376623378,0.4692307692307692,0.0,-0.5659744637304903
2260,1.0,0.08,0.039999999999999994,0.06,0.0,1.5227272727272727,0.4799751243781094,0.0,-0.5191873589164786
2694,1.0,0.08,0.0,0.060000000000000005,0.05999999999999998,1.362622850507011,0.59717613836922,0.0,-0.23025150549061282
2992,1.0,0.08,0.04,0.0,0.060000000000000005,1.1694915254237288,0.47259953161592505,0.0,-0.9191176470588235
3261,1.0,0.07999999999999997,0.0,0.060000000000000005,0.06,1.0703125,0.7245714285714282,0.0,-0.14634146341463414
3313,1.0,0.08,0.04,0.0,0.06,1.7857142857142858,0.6934058225184146,0.0,-0.9083102127097373
3537,1.0,0.0,0.0,0.06000000000000001,0.0,1.314814814814815,0.7692307692307693,0.0,-0.9199134199134201
3719,1.0,0.0,0.0,0.06,0.05999999999999999,1.2295918367346939,0.7514563106796116,0.0,-0.280688622754491
3720,1.0,0.08000000000000002,0.04,0.0,0.06,1.1220238095238095,0.5426829268292686,0.0,-0.24639423076923078
3742,1.0,0.08,0.0,0.06,0.0,1.5081967213114749,0.580564263322884,0.0,-0.7249766136576239
3770,1.0,0.08,0.0,0.0,0.06,0.6379310344827583,0.775609756097561,0.0,0.3939962476547843
4107,1.0,0.0,0.0,0.0,0.06,0.7426470588235294,0.5065732536575315,0.0,0.199033266988911
4321,1.0,0.07999999999999999,0.039999999999999994,0.06,0.0,1.3721804511278197,0.5437158469945356,0.0,-0.38787023977432994
4911,1.0,0.08000000000000002,0.0,0.060000000000000005,0.0,1.425465838509317,0.6766912257200269,0.0,-0.6142395982783356
5267,1.0,0.08000000000000004,0.0,0.06000000000000001,0.06,1.3043478260869568,0.468916797488226,0.0,-0.33018867924528306
5646,1.0,0.0,0.0,0.059999999999999984,0.059999999999999984,0.9603174603174602,0.714055636896047,0.0,0.06100536847242556
6172,1.0,0.0,0.039999999999999994,0.0,0.06,1.4625850340136055,0.5994555353901996,0.0,-0.557194362504097
6357,1.0,0.07999999999999997,0.04,0.0,0.0,1.279605263157895,0.593841642228739,0.0,-0.2376425855513309
6370,1.0,0.08,0.04,0.0,0.0,0.9454545454545454,0.2534292141807369,0.0,0.05521811154058531
7662,1.0,0.07999999999999997,0.04,0.0,0.060000000000000005,1.7289719626168216,0.3763525221248803,0.0,-1.0964295754849596
7706,1.0,0.08,0.04,0.06,0.0,1.4148936170212765,0.6999999999999998,0.0,-0.9672619047619048
7824,1.0,0.08,0.0,0.0,0.05999999999999998,1.2285714285714282,0.7126696832579186,0.0,-0.4542873367404884
7865,1.0,0.0,0.04,0.060000000000000005,0.06,1.246153846153846,0.25147205318480537,0.0,-0.25167125442390864
