ID,zqlimit,zqcost,gqlimit,gqcost,nbmylimit,nbmycost,xmzclimit,xmzccost,flag,population,allmoney,debt,income,mainincome,profit,rawprofit,tax,ownervalue
28,0.0,0.0,12710.0,508.40000000000003,7216.0,432.96000000000004,0.0,0.0,1.0,527.6666666666666,57400.0,86783.33333333333,197073.33333333334,101871.33333333333,65955.33333333333,-19707.333333333332,0.0,-29383.333333333332
230,0.0,0.0,1008.0,40.32,15590.4,935.424,156.79999999999998,9.408,1.0,480.6666666666667,76160.0,94080.0,100464.0,65822.40000000001,39838.4,-10046.4,0.0,-17920.0
429,6446.666666666667,515.7333333333333,35321.28666666667,1412.8514666666667,0.0,0.0,0.0,0.0,1.0,448.6666666666667,357790.0,435150.0,1051773.6666666667,603279.0666666667,211213.51450446714,-105177.36666666665,0.0,-77360.0
693,0.0,0.0,0.0,0.0,27588.0,1655.28,2675.2,160.512,1.0,450.0,87780.0,96140.0,419672.0,177064.8,116705.6,-41967.2,0.0,-8360.0
727,0.0,0.0,44227.84,1769.1136,48396.0,2903.76,0.0,0.0,1.0,610.3333333333334,398213.3333333333,584240.0,1132728.0,509509.60000000003,237271.19999999998,-113272.8,0.0,-186026.66666666666
990,0.0,0.0,0.0,0.0,111661.2,6699.672,0.0,0.0,1.0,880.0,75960.0,101280.0,372204.0,260542.8,37220.4,-37220.4,0.0,-25320.0
1137,3136.0,250.88,0.0,0.0,8153.599999999999,489.21599999999995,336.0,20.16,1.0,418.0,109956.59195720346,93333.33333333333,145002.66666666666,66154.66666666667,60689.06666666667,-14500.266666666668,0.0,-18666.666666666668
1274,14266.666666666666,1141.3333333333333,3695.066666666667,147.80266666666668,25680.0,1540.8,0.0,0.0,1.0,347.3333333333333,274633.3333333333,351316.6666666667,620243.3333333334,406457.3333333333,124048.66666666667,-62024.333333333336,0.0,-76683.33333333333
1560,0.0,0.0,4340.0,173.6,56000.0,3360.0,0.0,0.0,1.0,530.6666666666666,189000.0,256666.66666666666,275333.3333333333,149566.66666666666,96366.66666666667,-27533.333333333332,0.0,-67666.66666666667
1873,0.0,0.0,3669.1200000000003,146.7648,30958.2,1857.4920000000002,0.0,0.0,1.0,584.3995627660798,163496.66666666666,218703.33333333334,149058.0,69942.59999999999,97542.68117113382,-14905.799999999997,0.0,-55206.666666666664
2260,2107.0,168.56,216.72,8.6688,0.0,0.0,3762.5,225.75,1.0,604.0,132440.0,201670.0,484008.0,232311.80000000002,133343.0,-48400.799999999996,0.0,-69230.0
2694,648.0,51.84,0.0,0.0,21942.899999999998,1316.574,729.0,43.74,1.0,351.3333333333333,59940.0,81675.61365939025,229473.0,137035.80000000002,91465.2,-22947.3,0.0,-21060.0
2992,890.0,71.2,569.6,22.784000000000002,3123.9,187.434,0.0,0.0,1.0,124.0,52510.0,61410.0,38003.0,17960.2,9683.199999999999,-3800.2999999999997,0.0,-8900.0
3261,5930.666666666667,474.4533333333333,0.0,0.0,23630.0,1417.8,5560.0,333.59999999999997,1.0,840.6666666666666,355840.0,380860.0,810833.3333333334,587506.6666666666,170970.0,-81083.33333333333,0.0,-25020.0
3313,14212.0,1136.96,28758.399999999998,1150.336,235417.6,14125.055999999999,0.0,0.0,1.0,582.0,487666.6666666667,870833.3333333334,1588957.3333333333,1101792.2666666666,421845.60000000003,-158895.7333333333,0.0,-383166.6666666667
3537,0.0,0.0,0.0,0.0,0.0,0.0,459.8333333333333,27.59,1.0,658.3333333333334,40050.0,52658.333333333336,46280.0,35600.0,13706.0,-4628.0,0.0,-12608.333333333334
3719,0.0,0.0,0.0,0.0,178027.2,10681.632,6340.0,380.4,1.0,470.5,310660.0,381985.0,783624.0,588859.2,254107.2,-78362.4,0.0,-71325.0
3720,1109.3333333333333,88.74666666666667,2380.7999999999997,95.23200000000001,1075.2,64.512,0.0,0.0,1.0,569.3333333333334,35840.0,40213.333333333336,90965.33333333333,49365.333333333336,17749.333333333332,-9096.533333333335,0.0,-4373.333333333333
3742,7233.333333333333,578.6666666666666,0.0,0.0,0.0,0.0,1705.0,102.3,1.0,379.3333333333333,157583.33333333334,237666.66666666666,329633.3333333333,191373.33333333334,110463.33333333333,-32963.333333333336,0.0,-80083.33333333333
3770,7712.0,616.96,0.0,0.0,6266.0,375.96000000000004,0.0,0.0,1.0,641.6666666666666,93186.66666666667,59446.666666666664,171270.66666666666,132839.19999999998,85635.33333333333,-17127.066666666666,0.0,33740.0
4107,0.0,0.0,0.0,0.0,387269.39999999997,23236.164,0.0,0.0,1.0,408.0,361760.0,268660.0,1290898.0,653934.4,467761.0,-129089.8,0.0,93100.0
4321,13264.0,1061.1200000000001,16414.2,656.568,0.0,0.0,2487.0,149.22,1.0,677.3333333333334,367523.3333333333,504308.3333333333,910242.0,494913.0,352656.60000000003,-91024.2,0.0,-136785.0
4911,39536.666666666664,3162.933333333333,0.0,0.0,0.0,0.0,2181.3333333333335,130.88,1.0,467.6666666666667,438993.3333333333,625770.0,814182.6666666666,550950.2666666667,304077.86666666664,-81418.26666666666,0.0,-186776.66666666666
5267,241.33333333333334,19.30666666666667,0.0,0.0,7656.3,459.378,241.33333333333334,14.479999999999999,1.0,433.3333333333333,13876.666666666666,18100.0,38432.333333333336,18021.566666666666,12790.666666666666,-3843.2333333333336,0.0,-4223.333333333333
5646,0.0,0.0,0.0,0.0,2700.2000000000003,162.012,73.60000000000001,4.4159999999999995,1.0,318.6666666666667,4830.0,4638.333333333333,10472.666666666666,7478.066666666666,3141.7999999999997,-1047.2666666666667,0.0,191.66666666666666
6172,0.0,0.0,2998.7999999999997,119.952,33604.200000000004,2016.2520000000002,0.0,0.0,1.0,447.3333333333333,72030.0,105350.0,161994.0,97108.2,59799.6,-16199.4,0.0,-33320.0
6357,7786.666666666667,622.9333333333333,38067.066666666666,1522.6826666666666,0.0,0.0,0.0,0.0,1.0,621.6666666666666,184933.33333333334,236641.66666666666,497860.0,295650.0,217588.66666666666,-49786.0,0.0,-51708.333333333336
6370,1888.0,151.04,743.4,29.736,0.0,0.0,0.0,0.0,1.0,725.3333333333334,21633.333333333332,20453.333333333332,188526.80482971566,47778.19999999999,21369.8,-8012.2,0.0,1180.0
7662,10340.0,827.1999999999999,15666.666666666666,626.6666666666666,103776.0,6226.56,0.0,0.0,1.0,752.0,335266.6666666667,579666.6666666666,799626.6666666666,300941.5127583109,222905.33333333334,-85344.51223121067,0.0,-244400.0
7706,174.0,13.92,343.35999999999996,13.7344,0.0,0.0,116.0,6.96,1.0,307.3995627660799,9086.666666666666,12856.666666666666,19526.666666666668,13668.666666666666,3897.6,-1952.6666666666667,0.0,-3770.0
7824,3965.0,317.2,0.0,0.0,18080.399999999998,1084.824,0.0,0.0,1.0,638.0,92516.66666666667,113663.33333333333,175253.0,124897.5,46549.1,-17525.3,0.0,-21146.666666666668
7865,0.0,0.0,3741.1200000000003,149.6448,233387.0,14003.220000000001,5629.0,337.74,1.0,518.0,375266.6666666667,467640.0,1088850.6666666667,273815.5127583109,367039.6666666667,-108885.06666666667,0.0,-92373.33333333333
8444,853.3333333333334,68.26666666666667,401.06666666666666,16.042666666666666,0.0,0.0,384.0,23.040000000000003,1.0,231.0,22186.666666666668,19626.666666666668,79530.66666666667,58615.46666666667,34517.333333333336,-7953.066666666667,0.0,2560.0
8492,416.0,33.28,0.0,0.0,0.0,0.0,270.40000000000003,16.224,1.0,380.0,18720.0,23226.666666666668,42432.0,22547.2,16224.0,-4243.2,0.0,-4506.666666666667
