ID,invention,logo,copyright
1500001.0,0.0,0.0,0.0
1501967.0,0.0,0.0,0.0
1502041.0,0.0,1.0,1.0
1502584.0,1.0,1.0,0.0
1503369.0,1.0,1.0,1.0
1505078.0,0.0,0.0,0.0
1505270.0,0.0,0.0,0.0
1505351.0,1.0,,1.0
1505369.0,1.0,1.0,1.0
1505911.0,0.0,0.0,1.0
1506083.0,0.0,0.0,0.0
1506268.0,1.0,1.0,0.0
1507545.0,1.0,1.0,1.0
1508300.0,0.0,0.0,0.0
1511327.0,0.0,0.0,0.0
1511944.0,1.0,0.0,1.0
1512414.0,1.0,0.0,1.0
1512644.0,1.0,,1.0
1513238.0,0.0,0.0,0.0
1513300.0,0.0,0.0,1.0
1513319.0,0.0,0.0,0.0
1513491.0,0.0,1.0,1.0
1513523.0,1.0,1.0,0.0
1513543.0,0.0,0.0,0.0
1513612.0,0.0,0.0,0.0
1513846.0,1.0,0.0,1.0
1514287.0,0.0,1.0,0.0
1514456.0,1.0,1.0,0.0
1514971.0,1.0,0.0,1.0
1515386.0,1.0,0.0,0.0
1515632.0,1.0,1.0,1.0
1515919.0,0.0,0.0,0.0
1516400.0,1.0,1.0,1.0
1516606.0,0.0,0.0,0.0
1516890.0,0.0,0.0,0.0
1517061.0,0.0,0.0,0.0
1517125.0,0.0,0.0,0.0
1517424.0,0.0,1.0,0.0
1517809.0,0.0,0.0,0.0
1517844.0,0.0,0.0,0.0
1517864.0,1.0,1.0,0.0
1518087.0,0.0,0.0,0.0
1519515.0,0.0,1.0,0.0
1519586.0,0.0,1.0,1.0
1520230.0,0.0,0.0,0.0
1520235.0,1.0,0.0,
1521133.0,0.0,1.0,0.0
1521202.0,0.0,1.0,1.0
1521636.0,1.0,1.0,0.0
1522023.0,0.0,1.0,1.0
1522375.0,1.0,1.0,1.0
1522507.0,0.0,0.0,0.0
1522618.0,0.0,0.0,0.0
1523906.0,0.0,0.0,0.0
1524478.0,1.0,1.0,0.0
1524505.0,0.0,1.0,1.0
1524619.0,1.0,1.0,1.0
1524724.0,0.0,1.0,0.0
1524900.0,0.0,1.0,1.0
1525188.0,0.0,0.0,0.0
1525939.0,0.0,0.0,1.0
1526009.0,1.0,0.0,0.0
1526225.0,0.0,1.0,1.0
1526808.0,0.0,0.0,0.0
1526953.0,1.0,1.0,1.0
1527101.0,0.0,0.0,0.0
1527897.0,0.0,0.0,
1527962.0,0.0,0.0,0.0
1528324.0,0.0,0.0,0.0
1528326.0,1.0,1.0,0.0
1528739.0,0.0,0.0,0.0
1528976.0,0.0,0.0,0.0
1529280.0,0.0,0.0,1.0
1529359.0,0.0,0.0,0.0
1530029.0,1.0,1.0,0.0
1530553.0,0.0,0.0,0.0
1530732.0,1.0,0.0,1.0
1530777.0,0.0,0.0,0.0
1530981.0,1.0,1.0,
1531028.0,0.0,0.0,0.0
1531103.0,0.0,1.0,1.0
1531354.0,0.0,0.0,0.0
1531823.0,,0.0,0.0
1531870.0,1.0,0.0,1.0
1532325.0,0.0,1.0,1.0
1532743.0,1.0,1.0,1.0
1532784.0,0.0,1.0,0.0
1533285.0,0.0,1.0,1.0
1533388.0,0.0,0.0,1.0
1533776.0,0.0,0.0,0.0
1534034.0,0.0,,0.0
1536142.0,0.0,0.0,0.0
1536192.0,0.0,0.0,0.0
1537229.0,,1.0,0.0
1537333.0,1.0,0.0,1.0
1537739.0,0.0,0.0,0.0
1537885.0,1.0,0.0,1.0
1538213.0,1.0,1.0,1.0
1538281.0,0.0,0.0,0.0
1538455.0,0.0,0.0,0.0
1539040.0,1.0,1.0,1.0
1540121.0,0.0,0.0,0.0
1540157.0,0.0,0.0,0.0
1540298.0,0.0,1.0,0.0
1541304.0,0.0,0.0,0.0
1541753.0,0.0,1.0,1.0
1541964.0,0.0,0.0,0.0
1542048.0,0.0,0.0,0.0
1542451.0,0.0,0.0,0.0
