ID,year,zqlimit,zqcost,gqlimit,gqcost,nbmylimit,nbmycost,xmzclimit,xmzccost
1500001,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,20.04
1500001,2016.0,0.0,0.0,0.0,0.0,84168.0,5050.08,0.0,0.0
1500001,2017.0,0.0,0.0,0.0,0.0,91182.0,5470.92,0.0,0.0
1501967,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,3672.0,220.32
1501967,2016.0,0.0,0.0,30600.0,1224.0,0.0,0.0,0.0,0.0
1501967,2017.0,0.0,0.0,21150.72,846.0288,0.0,0.0,0.0,0.0
1502041,2015.0,0.0,0.0,,393.98400000000004,0.0,0.0,0.0,0.0
1502041,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,8892.0,533.52
1502041,2017.0,0.0,0.0,153216.0,,0.0,0.0,0.0,0.0
1502584,2015.0,0.0,0.0,3141.6,125.664,0.0,0.0,0.0,0.0
1502584,2016.0,0.0,0.0,7854.0,314.16,0.0,0.0,0.0,0.0
1502584,2017.0,0.0,0.0,7420.16,296.8064,0.0,0.0,0.0,0.0
1503369,2015.0,0.0,0.0,21014.4,840.576,0.0,0.0,0.0,0.0
1503369,2016.0,0.0,0.0,0.0,0.0,16716.0,1002.96,0.0,0.0
1503369,2017.0,2388.0,191.04,0.0,0.0,0.0,0.0,0.0,0.0
1505078,2015.0,0.0,0.0,0.0,0.0,19062.0,1143.72,,0.0
1505078,2016.0,4236.0,338.88,0.0,0.0,0.0,0.0,0.0,0.0
1505078,2017.0,8472.0,677.76,0.0,0.0,0.0,0.0,0.0,0.0
1505270,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.5,76.77
1505270,2016.0,0.0,0.0,0.0,0.0,92124.0,5527.44,0.0,0.0
1505270,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,51.18
1505351,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,219.9,13.194
1505351,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,1466.0,87.96
1505351,2017.0,0.0,0.0,0.0,0.0,9895.5,593.73,0.0,0.0
1505369,2015.0,18930.0,1514.4,0.0,0.0,,0.0,0.0,0.0
1505369,2016.0,0.0,0.0,1388.2,55.528,0.0,0.0,0.0,0.0
1505369,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,7572.0,454.32
1505911,2015.0,0.0,0.0,0.0,0.0,375144.0,22508.64,0.0,0.0
1505911,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,1670.4,100.22399999999999
1505911,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,1809.6,108.57600000000001
1506083,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,273.6,16.416
1506083,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,30.78
1506083,2017.0,0.0,0.0,12312.0,492.48,0.0,0.0,0.0,0.0
1506268,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,195.2,11.712
1506268,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,219.6,13.175999999999998
1506268,2017.0,0.0,0.0,6402.56,256.1024,0.0,0.0,0.0,0.0
1507545,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,5760.0,345.6
1507545,2016.0,0.0,0.0,16220.16,648.8064,0.0,0.0,0.0,0.0
1507545,2017.0,0.0,0.0,0.0,0.0,195840.0,11750.4,0.0,0.0
1508300,2015.0,0.0,0.0,3090.0,123.6,0.0,0.0,0.0,0.0
1508300,2016.0,0.0,0.0,7580.8,303.232,0.0,0.0,0.0,0.0
